Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Cantonment area,12.9937707,77.59778680000001,Ujwal Bar & Restaurant,12.99227960861634,77.59447349833962,Indian Restaurant
Cantonment area,12.9937707,77.59778680000001,Millers 46,12.991665958945687,77.59420704126842,Steakhouse
Cantonment area,12.9937707,77.59778680000001,Alliance Française,12.99123205419195,77.59672285626755,Concert Hall
Cantonment area,12.9937707,77.59778680000001,Jayamahal Palace Hotel,12.996839492188757,77.59716251118277,Indian Restaurant
Cantonment area,12.9937707,77.59778680000001,Watson's,12.994217603999449,77.59464460568408,Pub
Cantonment area,12.9937707,77.59778680000001,Jaymahal Palace Grounds,12.995299301757033,77.59693423002338,Music Venue
Cantonment area,12.9937707,77.59778680000001,Karnataka Badminton Association,12.989514454878785,77.5969601565791,Badminton Court
Cantonment area,12.9937707,77.59778680000001,Imperial Restaurant,12.991149886578006,77.59383746322487,Indian Restaurant
Cantonment area,12.9937707,77.59778680000001,Pasta Street - Cunningham Road,12.988385129794183,77.59389142600642,Italian Restaurant
Cantonment area,12.9937707,77.59778680000001,Ramana's,12.988734023699127,77.5940574616001,Indian Restaurant
Cantonment area,12.9937707,77.59778680000001,The French Loaf,12.999344947743225,77.6000393021337,Bakery
Cantonment area,12.9937707,77.59778680000001,Jayamahal Palace,12.996886575427947,77.59721670561181,Event Space
Cantonment area,12.9937707,77.59778680000001,Karnataka State Billiards Association,12.989906017226252,77.59659072410895,Pool Hall
Cantonment area,12.9937707,77.59778680000001,Cafe Coffee Day,12.995116541749379,77.60302845987117,Café
Cantonment area,12.9937707,77.59778680000001,The Zodiac,12.989588592716233,77.59505407068745,Indian Restaurant
Cantonment area,12.9937707,77.59778680000001,Hotel Chandrika,12.98965,77.59297,Vegetarian / Vegan Restaurant
Cantonment area,12.9937707,77.59778680000001,Cafe Coffee Day,12.989304961550355,77.59288289535611,Coffee Shop
Cantonment area,12.9937707,77.59778680000001,Casa Raviera,12.989019782378223,77.59342889070933,Italian Restaurant
Cantonment area,12.9937707,77.59778680000001,Pai Vihar,12.99317188523833,77.59588688029433,Indian Restaurant
Cantonment area,12.9937707,77.59778680000001,Subway,12.987839872381402,77.59456150081076,Sandwich Place
Cantonment area,12.9937707,77.59778680000001,Secret Garden Cafe,12.987379285480086,77.59592053563657,Salad Place
Cantonment area,12.9937707,77.59778680000001,Cantonment Station Chai Guy,12.993795132048405,77.59824360820399,Tea Room
Cantonment area,12.9937707,77.59778680000001,Featherlite Living,12.99331599698295,77.59592700570208,Furniture / Home Store
Cantonment area,12.9937707,77.59778680000001,Domino's Pizza,12.988320482792965,77.59400417472338,Pizza Place
Cantonment area,12.9937707,77.59778680000001,Chungs,12.989102438265864,77.59402695478403,Chinese Restaurant
Cantonment area,12.9937707,77.59778680000001,Nilgiris,12.99241017914555,77.5930899422271,Department Store
Cantonment area,12.9937707,77.59778680000001,Fortune Select JP Cosmos,12.989569022690397,77.59504111868993,Hotel
Cantonment area,12.9937707,77.59778680000001,Sri Vinayaka Juice & Chats,12.992459297180176,77.59272766113281,Juice Bar
Cantonment area,12.9937707,77.59778680000001,KFC,12.988550451776677,77.59386808727444,Fast Food Restaurant
